0:0:0:0:0:0:0:1 - - [12/May/2025:16:50:37 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0004 HTTP/1.1" 200 1609
0:0:0:0:0:0:0:1 - - [12/May/2025:17:06:13 +0700] "GET /SICT-portal/admin?action=accountList HTTP/1.1" 200 8206
0:0:0:0:0:0:0:1 - - [12/May/2025:17:06:13 +0700] "GET /SICT-portal/admin?action=dashboard HTTP/1.1" 200 6865
0:0:0:0:0:0:0:1 - - [12/May/2025:17:06:14 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 122575
0:0:0:0:0:0:0:1 - - [12/May/2025:17:06:15 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 6306
0:0:0:0:0:0:0:1 - - [12/May/2025:17:08:00 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 10668
0:0:0:0:0:0:0:1 - - [12/May/2025:17:14:11 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 10668
0:0:0:0:0:0:0:1 - - [12/May/2025:17:14:12 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 10668
0:0:0:0:0:0:0:1 - - [12/May/2025:17:14:13 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 10668
0:0:0:0:0:0:0:1 - - [12/May/2025:17:14:14 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 122575
0:0:0:0:0:0:0:1 - - [12/May/2025:17:14:15 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 10668
0:0:0:0:0:0:0:1 - - [12/May/2025:17:18:32 +0700] "GET /SICT-portal/admin?action=studentList HTTP/1.1" 200 122575
0:0:0:0:0:0:0:1 - - [12/May/2025:17:18:34 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0004 HTTP/1.1" 200 6526
0:0:0:0:0:0:0:1 - - [12/May/2025:17:18:38 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0001 HTTP/1.1" 200 10675
0:0:0:0:0:0:0:1 - - [12/May/2025:17:18:48 +0700] "GET /SICT-portal/admin?action=searchClassroomListByStudentID&studentID=SV_0002 HTTP/1.1" 200 10675
